level_0,index,Name,State,EconomyRanking,Economy,SafetyRanking,Safety,Magnitude,Income,CostOfLiving,StateCOL,Crime,Population,RelocationNumber,COLIsEstimated,IncomeRanking,COLRanking,CrimeRanking,PopulationRanking,CityPreference,NameOfPerson,CityChosen,StateOfCityChosen
256,2074,Presidio,TX,2722.0,182.07376427441932,24.0,148.0,2722.1058024992344,17154,94.21456225920446,92.6,32,4736,7.0,T,2722.0,1606.0,42.0,1884.5,2,Anthony Richardson,Stamford,CT
959,1734,Wautoma,WI,2008.0,429.9630732761436,1438.0,14.02054794520548,2469.7991821198743,39732,92.40793563330529,95.5,146,2047,3.0,T,2012.0,1128.0,429.0,2659.0,2,Christopher Thompson,Stamford,CT
400,119,Big Lake,MN,127.0,745.7578392095204,504.0,26.0559796437659,519.754749858046,77440,103.84067847289938,99.6,393,10240,16.0,T,158.0,2334.0,1099.5,1104.0,2,Michael Lewis,Stamford,CT
254,1678,Iowa,LA,1577.0,479.6815542186485,1833.0,11.067226890756302,2418.01943747357,44135,92.00895805112069,92.8,238,2634,4.0,T,1631.0,976.0,725.0,2525.0,2,Madison Russell,Stamford,CT
352,272,Provo,UT,153.0,729.8216055500495,805.0,20.0125786163522,819.4107639029402,73639,100.9,101.5,5883,117734,184.0,F,205.5,2238.5,2452.0,138.0,1,Laura Sanders,Truckee,CA
85,2496,Gunnison,CO,2013.0,428.8361247241065,2529.0,6.961685823754789,3232.338163002132,40990,95.58429814272546,105.8,783,5451,9.0,T,1913.0,1850.0,1611.0,1721.0,2,Bryan Bates,Stamford,CT
879,1451,Fairfield,IA,1915.0,440.78412404602426,1125.0,16.519642857142856,2221.0020261134387,40053,90.86761027676644,90.3,560,9251,14.0,T,1989.5,431.0,1372.0,1182.0,2,Donald Jackson,Stamford,CT
480,306,Wright City,MO,180.0,715.8138878993998,844.0,19.38095238095238,862.9808804371045,68625,95.86989182535186,91.2,168,3256,5.0,T,298.0,1887.0,505.5,2294.0,2,Christie Kent DVM,Stamford,CT
394,82,Pinehurst,NC,389.5,629.7300635884943,158.0,46.87132352941177,420.32636129560086,61515,97.6847121597768,96.4,272,12749,20.0,T,473.5,2071.5,827.0,936.0,2,Miranda Burton,Stamford,CT
104,2185,Albertville,AL,1682.0,468.1188118811881,2246.0,8.628667225481978,2806.0007127582844,42552,90.9,88.6,2386,20588,32.0,F,1772.0,446.0,2182.5,645.0,2,Scott Fletcher,Stamford,CT
563,1444,Galena,KS,1779.0,456.6075245538768,1322.0,14.885714285714286,2216.42166565841,41058,89.91967453912471,86.9,210,3126,5.0,T,1909.0,227.0,635.0,2353.0,2,Crystal Dickson,Stamford,CT
660,2067,Fayetteville,NC,1199.0,518.9050279329609,2438.0,7.604447365538394,2716.8814843492896,46442,89.5,96.4,27387,208263,326.0,F,1414.0,181.0,2653.0,80.0,2,Jessica Gonzalez,Stamford,CT
703,240,Hastings,MN,193.0,704.5784388824593,735.0,21.16417910447761,759.9171007419164,71782,101.87935939943654,99.6,1072,22688,35.0,T,240.0,2268.0,1810.5,607.0,2,Crystal Valdez,Stamford,CT
565,2593,Wewoka,OK,2597.0,312.60590663261985,2197.0,8.877005347593583,3401.649305851501,28313,90.57090540926328,88.2,374,3320,5.0,T,2610.0,316.0,1069.0,2268.0,2,Jason Carter,Stamford,CT
405,2434,Camden,SC,1919.0,440.3475136465824,2449.0,7.552270327349524,3111.29587149792,40625,92.2566807828172,94.8,947,7152,11.0,T,1942.0,1078.0,1733.0,1445.0,1,Christopher Garcia,Truckee,CA
523,1950,Frankfort,IN,1853.0,448.76345137921294,1867.0,10.8698224852071,2630.455854029868,40913,91.16829785103825,91.1,1521,16533,26.0,T,1922.0,580.0,2016.0,764.0,1,Jennifer Parsons,Truckee,CA
262,892,Hondo,TX,847.0,556.1513451475645,1426.0,14.106811145510836,1658.579211252812,51962,93.4314021774286,92.6,646,9113,14.0,T,953.5,1435.0,1466.5,1202.0,2,Pamela Gibson,Stamford,CT
118,884,Webster City,IA,538.0,601.1408669825165,1558.0,12.945945945945946,1648.2742490253254,56540,94.05449388894137,90.3,592,7664,12.0,T,672.0,1564.0,1412.5,1373.0,1,Brian Harris,Truckee,CA
998,2720,Belle Glade,FL,2691.0,261.5109140628727,2668.0,5.358561967833491,3789.4201403380966,24862,95.07060188708856,101.5,3171,16992,27.0,T,2688.0,1769.0,2281.0,748.0,1,Michael Leonard,Truckee,CA
614,1340,Titusville,FL,1304.0,508.3311058180017,1667.0,12.187822777928783,2116.4368641658084,48453,95.31779473150652,101.5,3679,44839,70.0,T,1239.0,1806.0,2331.0,362.0,1,Holly Hutchinson,Truckee,CA
519,253,Sauk Centre,MN,546.0,599.8499330496927,575.0,24.389221556886227,792.9319012374266,58487,97.50271989303502,99.6,167,4073,6.0,T,580.0,2059.0,501.0,2067.0,1,Alexis Pruitt,Truckee,CA
452,303,Refugio,TX,787.0,564.9897861480484,340.0,32.03658536585366,857.3033302163243,52929,93.68133955280145,92.6,82,2627,4.0,T,871.0,1484.0,183.5,2527.0,2,Kimberly Grant,Stamford,CT
560,1342,Ware,MA,1972.0,433.572804037961,771.0,20.608879492600423,2117.3627464371807,45114,104.051729213279,132.5,473,9748,15.0,T,1546.0,2342.0,1245.0,1147.0,2,Thomas Jennings,Stamford,CT
749,802,Los Banos,CA,881.0,552.1629295207409,1289.0,15.171776564468711,1561.307785159608,62533,113.25099288044666,146.9,2381,36124,56.0,T,436.0,2574.0,2180.0,428.0,1,Jacqueline Bennett,Truckee,CA
899,2183,Lima,OH,1280.0,510.0229357798165,2495.0,7.222610722610723,2804.1799157686014,44474,87.2,92.9,5148,37182,58.0,F,1596.0,83.0,2424.0,414.0,2,Joseph Miller,Stamford,CT
189,1108,Waupaca,WI,777.0,566.0831697954038,1716.0,11.854545454545455,1883.7157428869143,53632,94.7422620237657,95.5,495,5868,9.0,T,839.0,1719.0,1276.0,1646.0,2,Stephanie Cruz,Stamford,CT
128,2614,Emporia,VA,2496.0,340.85833610384344,2410.0,7.76510989010989,3469.59882407174,31774,93.217611642392,98.1,728,5653,9.0,T,2488.0,1387.0,1556.5,1682.5,1,Margaret Horton,Truckee,CA
328,822,St. Maries,ID,1573.0,480.3711531002723,77.0,72.02777777777777,1574.8834877539357,44865,93.39653247378682,97.1,36,2593,4.0,T,1568.0,1428.0,50.0,2541.5,2,John Green,Stamford,CT
849,2626,Dublin,GA,2279.0,384.3320297490317,2656.0,5.562742561448901,3499.7395617388447,34820,90.59874614857736,89.8,3092,17200,27.0,T,2319.0,320.0,2275.0,739.0,1,Shannon Holloway,Truckee,CA
273,1945,Forks,WA,2310.0,378.9725445007322,1250.0,15.48611111111111,2626.518608348321,36948,97.49518939076762,112.8,216,3345,5.0,T,2209.0,2056.0,654.0,2263.0,1,Frank Sherman,Truckee,CA
551,2575,El Dorado Springs,MO,2471.0,347.24088564700844,2302.0,8.348027842227378,3377.1356206110527,31653,91.1557403184866,91.2,431,3598,6.0,T,2496.0,572.0,1176.5,2176.0,2,Mr. John Smith,Stamford,CT
755,2363,Gaylord,MI,1504.0,487.5908102151393,2603.0,6.334545454545455,3006.264293105315,44694,91.66292527186825,91.4,550,3484,5.0,T,1584.0,828.0,1355.5,2223.5,1,Lisa Clark,Truckee,CA
801,883,Lindsay,OK,1393.0,498.56269736027497,881.0,18.935064935064936,1648.214185110661,45261,90.78296519102224,88.2,154,2916,5.0,T,1536.0,398.0,452.5,2428.0,2,Mr. Jeffrey Richardson PhD,Stamford,CT
994,2054,Toppenish,WA,1363.0,502.2382906395552,2335.0,8.203014184397164,2703.700057328845,49704,98.9649752445327,112.8,1128,9253,14.0,T,1135.5,2136.0,1837.0,1181.0,2,Michael Gonzalez,Stamford,CT
196,2014,Williams,AZ,1932.0,438.89226987845774,1858.0,10.922297297297296,2680.445485362461,42154,96.04634871257517,107.0,296,3233,5.0,T,1816.0,1912.0,905.5,2311.0,1,Brent Woodard,Truckee,CA
92,61,Basehor,KS,61.0,793.7626398746969,353.0,31.63087248322148,358.2317685521484,75942,95.67343710203868,86.9,149,4713,7.0,T,174.0,1854.0,436.0,1890.0,2,Charles Sosa,Stamford,CT
390,218,Sabetha,KS,599.0,591.2217016753569,390.0,29.92682926829268,714.7733906630829,54662,92.45601074030805,86.9,82,2454,4.0,T,773.0,1142.0,183.5,2577.0,2,Kenneth Keller,Stamford,CT
164,279,Friona,TX,727.0,572.7086194189189,400.0,29.403361344537814,829.7764759258965,53786,93.915122238901,92.6,119,3499,5.0,T,825.0,1542.0,305.0,2219.0,2,Justin Miller,Stamford,CT
942,2368,Key West,FL,1449.0,493.3857142857143,2638.0,5.845727848101266,3009.7582959433803,69074,140.0,101.5,3792,22167,35.0,F,293.0,2700.0,2342.0,616.0,2,Nancy Gordon,Stamford,CT
757,530,Cactus,TX,1215.0,516.675395409415,90.0,64.26190476190476,1218.3287733612794,47805,92.52424331551376,92.6,42,2699,4.0,T,1290.5,1166.0,62.5,2495.5,2,Tonya Patton,Stamford,CT
130,1481,St. Ignace,MI,1798.0,454.2400480710203,1346.0,14.74025974025974,2246.000890471774,41474,91.3041467306193,91.4,154,2270,4.0,T,1877.0,639.0,452.5,2620.0,1,Joe White,Jefferson,GA
380,2166,South Hill,VA,2342.0,371.9088843304882,1517.0,13.31764705882353,2790.385815617618,34622,93.09269409448676,98.1,340,4528,7.0,T,2331.5,1345.0,1003.0,1937.0,2,Jacob Fisher,Stamford,CT
539,2305,Rome,GA,1712.0,464.8102678571429,2399.0,7.8365147091848195,2947.2266624744016,41647,89.6,89.8,4453,34896,55.0,F,1856.0,192.0,2380.0,439.0,1,Jessica Cooke,Jefferson,GA
200,1471,Washington,DC,14.0,875.5120732722731,2235.0,8.687760788899958,2235.0438474446087,105149,120.1,154.4,69261,601723,941.0,F,19.0,2613.0,2700.0,27.0,2,Sheila Mcdonald,Stamford,CT
726,1029,Chico,CA,1412.0,496.41628959276017,1137.0,16.413647690243433,1812.87423722662,54854,110.5,146.9,5217,85630,134.0,F,758.0,2532.0,2428.0,208.0,1,Susan Jones,Jefferson,GA
559,406,Lewisburg,PA,1020.5,538.0850055504743,220.0,39.392857142857146,1043.9445627043613,51486,95.6837664475124,100.5,140,5515,9.0,T,993.5,1856.5,409.0,1712.5,2,Tracy Lane,Stamford,CT
507,2298,Bridgeton,NJ,2016.0,428.3565523745817,2138.0,9.219503287070854,2938.588096348313,42614,99.482545005488,118.3,2738,25243,39.0,T,1769.5,2165.0,2227.0,553.0,1,Sharon Wright,Jefferson,GA
794,812,Mesa,AZ,489.0,609.9233061784518,1489.0,13.558294151118565,1567.2402496107609,63396,103.94093709455916,107.0,33391,452725,708.0,T,417.5,2338.0,2672.0,38.0,1,Misty Howard,Jefferson,GA
158,707,Eagar,AZ,830.0,558.0066709389912,1183.0,16.08823529411765,1445.1259460683696,55014,98.59021919473588,107.0,272,4376,7.0,T,751.0,2123.0,827.0,1978.0,2,Shaun Schmidt,Stamford,CT
344,1737,Lakeview,OR,2259.0,388.3779095460108,1008.0,17.568181818181817,2473.6905627018104,39615,102.00116697241464,127.5,132,2319,4.0,T,2020.0,2275.0,369.0,2607.5,1,Robert Thomas,Jefferson,GA
669,1475,Heavener,OK,2131.0,412.33389675300657,682.0,22.13605442176871,2237.472904863878,37159,90.11871275346236,88.2,147,3254,5.0,T,2196.0,242.0,432.5,2295.5,2,Don Brown,Stamford,CT
475,1300,Mexico,MO,1964.0,435.0339785216047,691.0,21.955010224948875,2082.012728107108,39637,91.11242329783109,91.2,489,10736,17.0,T,2016.0,550.0,1262.5,1057.0,1,Adrian Robinson,Jefferson,GA
310,350,Zumbrota,MN,691.0,578.0046853363818,647.0,22.86029411764705,946.620304029023,55850,96.62551432000406,99.6,136,3109,5.0,T,711.0,1970.0,387.5,2358.0,2,Madison Hester,Stamford,CT
367,2231,Paris,AR,2420.0,358.2584286213525,1511.0,13.357142857142858,2852.98457759589,32731,91.3614234449562,92.1,266,3553,6.0,T,2435.0,672.0,805.0,2193.0,2,Thomas Palmer,Stamford,CT
469,483,Yountville,CA,1047.0,535.1778850481186,493.0,26.344,1157.2631507137864,69300,129.4896555633444,146.9,125,3293,5.0,T,290.0,2652.0,330.5,2278.0,2,Malik Conrad,Stamford,CT
489,209,Grayslake,IL,32.0,822.8922561370523,688.0,22.01010101010101,688.7437840009883,82653,100.44206806368852,90.5,990,21790,34.0,T,106.0,2218.0,1764.5,623.0,1,Bethany Hansen,Jefferson,GA
612,1464,Cleburne,TX,1016.0,538.3041769897136,1984.0,10.079746413079748,2229.015926367508,50052,92.98088727436428,92.6,2997,30209,47.0,T,1115.0,1306.0,2262.0,479.0,2,Lawrence Eaton,Stamford,CT
302,625,Harrison,OH,483.0,611.0457952025107,1247.0,15.540064102564102,1337.272597490878,58313,95.43147249818504,92.9,624,9697,15.0,T,591.0,1822.0,1439.5,1152.0,2,Christopher Berry,Stamford,CT
210,541,Broadway,VA,1227.0,515.5729790251752,15.0,238.78571428571428,1227.0916836161837,48636,94.33388090267844,98.1,14,3343,5.0,T,1221.5,1638.0,17.0,2264.0,2,Mr. Jeffrey Shields,Stamford,CT
731,2238,Centerville,IA,2338.0,372.0228862799248,1648.0,12.33793103448276,2860.4454198603407,33771,90.7766732786148,90.3,435,5367,8.0,T,2378.0,397.0,1185.0,1740.0,1,Arthur Reed,Jefferson,GA
442,2657,Mayodan,NC,2362.0,369.05216243875714,2686.0,5.028735632183908,3576.819816540945,34172,92.5939568384746,96.4,522,2625,4.0,T,2352.0,1182.0,1319.0,2528.5,2,David Jones,Stamford,CT
822,2152,Morehead,KY,2598.0,312.0472591290656,985.0,17.81524249422633,2778.458025596212,28779,92.22641493574774,93.9,433,7714,12.0,T,2600.0,1068.0,1181.5,1366.5,1,Nicole Jones MD,Jefferson,GA
622,342,Bismarck,ND,248.0,682.2341568206231,889.0,18.782430453879943,922.9436602523472,63516,93.1,97.8,3415,64142,100.0,F,415.0,1348.0,2307.0,267.0,1,Sharon Smith,Jefferson,GA
502,1628,Checotah,OK,2169.0,405.6354625233164,944.0,18.20833333333333,2365.5225638323554,36552,90.11046463399128,88.2,192,3496,5.0,T,2228.0,236.0,581.0,2221.0,2,Alan Hahn,Stamford,CT
573,751,Long Beach,CA,909.5,548.2578511389958,1186.0,16.04926570148943,1494.585644919688,71338,130.117607712861,146.9,28803,462267,723.0,T,248.0,2657.5,2659.0,37.0,2,Gary Davis,Stamford,CT
496,2637,Waynesboro,GA,2605.0,309.1914593579548,2383.0,7.890140845070422,3530.5401852974283,28158,91.06978588112014,89.8,710,5602,9.0,T,2616.5,523.0,1537.0,1697.0,1,Nancy Thomas,Jefferson,GA
153,1718,Laredo,TX,1176.0,521.5871254162042,2152.0,9.123319095079893,2452.362126603655,46995,90.1,92.6,25284,230674,361.0,F,1363.0,232.0,2648.0,76.0,1,Angelica Fox,Jefferson,GA
208,2278,Quartzsite,AZ,2715.0,212.19998587102864,1038.0,17.314432989690722,2906.6594227738483,20707,97.58247586588128,107.0,194,3359,5.0,T,2714.0,2063.0,585.5,2257.0,2,Eric Aguilar,Stamford,CT
655,2700,Many,LA,2710.0,228.673141600426,2516.0,7.06282722513089,3697.8853416513607,21308,93.18103495176852,92.8,382,2698,4.0,T,2708.0,1373.0,1086.0,2497.0,2,Joseph Vaughn,Stamford,CT
887,66,Hallsville,TX,354.0,638.2516278881792,106.0,59.2962962962963,369.52943049234926,61656,96.60139873674092,92.6,54,3202,5.0,T,468.0,1967.0,92.5,2322.0,2,Jennifer Lucero,Stamford,CT
414,2177,London,KY,1923.0,439.81087470449177,2036.0,9.800492610837438,2800.575833645645,37208,84.6,93.9,812,7958,12.0,F,2192.5,21.0,1636.0,1334.0,1,Philip Ortiz,Bismarck,ND
957,153,Half Moon Bay,CA,82.0,773.7366701262973,571.0,24.416988416988417,576.857868109641,122064,157.75909907446348,146.9,518,12648,20.0,T,7.0,2717.0,1309.0,943.5,2,David Perez,Stamford,CT
704,160,Lowell,IN,209.0,698.8380057238749,551.0,24.780979827089336,589.3063719322913,66543,95.21949214979084,91.1,347,8599,13.0,T,336.0,1792.0,1015.0,1265.0,1,Stephanie Wilson,Bismarck,ND
388,1251,Ripley,MS,1992.0,431.8670959907865,398.0,29.45408163265306,2031.370965628878,38535,89.22883997817262,85.1,196,5773,9.0,T,2105.0,165.0,592.5,1662.0,2,Alexis Carter,Stamford,CT
259,520,North Branch,MN,211.0,697.8764941221472,1189.0,16.017910447761196,1207.5769126643652,70905,101.6010721054458,99.6,670,10732,17.0,T,257.0,2254.0,1497.5,1058.0,1,Jessica Simmons,Bismarck,ND
542,937,Hereford,TX,1149.0,525.137927042507,1255.0,15.44708423326134,1701.5363645834902,48676,92.69183864539256,92.6,926,14304,22.0,T,1217.0,1224.0,1721.0,858.0,1,Christopher Wong,Bismarck,ND
541,2201,Kellogg,ID,2441.0,353.67709172255263,1411.0,14.211920529801324,2819.4683896082256,32841,92.85588682051996,97.1,151,2146,3.0,T,2431.0,1268.0,442.5,2643.0,2,Tony Pace,Stamford,CT
379,1904,Mount Vernon,WA,781.0,565.4950045413261,2473.0,7.409173478655767,2593.393529721241,62261,110.1,112.8,4404,32630,51.0,F,450.0,2518.5,2378.0,457.0,1,David Jackson,Bismarck,ND
738,244,Montgomery,PA,760.0,568.2087309455036,60.0,79.1029411764706,762.3647421018367,54891,96.60358422979698,100.5,68,5379,8.0,T,754.0,1969.0,136.5,1736.0,2,Charles Leblanc,Stamford,CT
144,2600,Dillon,SC,2087.0,418.6756787928228,2718.0,3.670828603859251,3426.8196626026297,38577,92.1405325268235,94.8,1762,6468,10.0,T,2103.0,1031.0,2069.0,1545.5,1,Tiffany Chaney,Bismarck,ND
389,805,Albia,IA,1450.0,493.3078590225543,583.0,24.253424657534246,1562.8144483591134,45082,91.38715140141085,90.3,146,3541,6.0,T,1551.0,684.0,429.0,2199.0,2,Mr. Larry Bates,Stamford,CT
825,73,Aurora,NE,379.0,631.5565422708521,95.0,62.35294117647059,390.72496720839325,61045,96.6580122509759,93.6,68,4240,7.0,T,487.0,1977.0,136.5,2019.0,2,Cody Benton,Stamford,CT
43,1611,Curwensville,PA,2319.0,376.00452074125207,405.0,29.289156626506024,2354.099827959724,35270,93.8020636838861,100.5,83,2431,4.0,T,2298.0,1508.0,188.5,2583.0,1,Joseph Shaffer,Bismarck,ND
650,1994,Corsicana,TX,1593.0,478.12469745405696,2137.0,9.227320490367775,2665.4114128967035,43952,91.9258098024174,92.6,2855,26344,41.0,T,1643.0,940.0,2244.0,532.0,2,Nicole Silva,Stamford,CT
227,1215,Port Townsend,WA,1273.0,510.9762512972844,1536.0,13.125714285714286,1994.94987405699,50680,99.18269170305244,112.8,700,9188,14.0,T,1050.0,2150.0,1528.5,1189.0,1,Jennifer Burch,Bismarck,ND
410,1995,Dos Palos,CA,1952.0,437.06126186670025,1818.0,11.1509009009009,2667.475960528979,47537,108.76507288009972,146.9,444,4951,8.0,T,1313.0,2493.0,1195.0,1841.0,1,Melissa Miller,Bismarck,ND
185,2313,Springfield,MO,1216.0,516.5513264129181,2697.0,4.739795456602407,2958.45652325668,44785,86.7,91.2,33147,157110,246.0,F,1573.5,68.0,2670.0,109.0,1,Edward Bernard,Bismarck,ND
53,1133,New Albany,MS,1873.0,445.9140739188133,347.0,31.8062015503876,1904.872174189124,39817,89.2929878845883,85.1,258,8206,13.0,T,2007.0,167.0,781.5,1313.0,2,Gina Logan,Stamford,CT
613,2387,Cookeville,TN,1910.0,441.4081408140814,2353.0,8.093054438187181,3030.62848267484,40124,90.9,90.0,3729,30179,47.0,F,1984.0,446.0,2336.0,481.0,2,Michael Lee,Stamford,CT
62,1400,Walters,OK,2170.0,405.3036963100354,49.0,88.14285714285714,2170.553155303965,36522,90.1102070681898,88.2,28,2468,4.0,T,2231.0,235.0,34.0,2574.0,1,Miranda Rivers,Bismarck,ND
270,1290,Dilley,TX,2023.0,426.715403326155,421.0,28.484126984126984,2066.3421788271176,39045,91.50126687635976,92.6,126,3589,6.0,T,2064.0,745.0,335.0,2178.0,1,Kimberly Allen,Bismarck,ND
137,1722,Dover,DE,536.0,601.2240868706812,2397.0,7.841326854003803,2456.1972640649205,60904,101.3,106.6,4733,37113,58.0,F,491.0,2245.0,2399.5,416.0,1,Holly Collins,Bismarck,ND
87,83,Kimberling City,MO,267.0,675.8826331382032,327.0,32.54054054054054,422.15873791738574,63935,94.59482588440277,91.2,74,2408,4.0,T,410.0,1697.0,158.0,2592.0,1,Sarah Ortiz,Bismarck,ND
989,1346,Mangum,OK,2026.0,426.2562419494457,620.0,23.353448275862068,2118.7439675430346,38429,90.1546915166528,88.2,116,2709,4.0,T,2117.0,247.0,294.5,2494.0,1,Heather Cox,Bismarck,ND
83,1082,Elmira,NY,862.0,554.3675675675676,1643.0,12.354479211315905,1855.3956451387933,51279,92.5,143.7,2333,28823,45.0,F,1012.0,1159.5,2169.0,494.0,2,Brenda Montoya,Stamford,CT
368,2672,Raymondville,TX,2501.0,339.5730277022658,2600.0,6.351940095302927,3607.6309401046,31110,91.61505026034322,92.6,1469,9331,15.0,T,2522.0,809.0,1994.5,1174.0,2,Shawn Tucker,Stamford,CT
15,904,Newport,PA,1545.0,483.34264105081326,643.0,22.953125,1673.4616816646862,45694,94.53748980362823,100.5,64,1469,2.0,T,1481.0,1688.0,119.0,2709.0,1,Kayla Ruiz,Bismarck,ND
